\ The attitudes of the telescope.
     2     0    64 266.22800844085504 -28.682416126898588  301.0462662838801 
     2     1    65  266.2228902075734 -28.682111632041174 300.05291483278296 
     2     2    66  266.2256758613553 -28.681927014415002 300.50592466437706 
     2     3    67 266.22484123670796 -28.682620344693923 300.88762155239124 
     2     4    68  266.2253057719425 -28.683508899800636  301.6011353491584 
     2     5    69  266.2231342160132 -28.681377273425788 300.25084091266797 
     2     6    70  266.2291270417254  -28.68220181879366 301.33398559251793 
     2     7    71 266.22483499147063 -28.682411424780845 300.86514109024483 
     2     8    72   266.225221338732 -28.683916184367327  300.8982955651645 
     2     9    73  266.2249484128115 -28.682046817770203  300.7948748862811 
     2    10    74 266.22505687376315  -28.68202366809197  302.3005942209762 
     2    11    75 266.22636768353215 -28.683167718268443 300.92692367232064 
     2    12    76 266.22452177802495 -28.681984193939112 301.46708831315965 
     2    13    77  266.2230999903327 -28.682246209239306   300.897104997077 
     2    14    78  266.2254532248983   -28.6828107645565 301.26986294774105 
     2    15    79 266.22452210127034 -28.681411906737658 302.30149710746696 
     2    16    80 266.22577899854394 -28.681750647393777 302.16933586649986 
     2    17    81 266.22403365820264 -28.683444351943415 301.35808798308193 
     2    18    82 266.22400458180823 -28.682765416871018  300.6700216709259 
     2    19    83 266.22781618824985 -28.681563675410317  300.2722114745095 
     2    20    84 266.22461673229975 -28.681366120157378 302.11206148626854 
     2    21    85 266.22526397375924 -28.682576743406674   300.590380087271 
     2    22    86  266.2257047462345  -28.68371350736689  302.4625462019178 
     2    23    87 266.22572072319076  -28.68408506551732 301.16603439324473 
     2    24    88 266.22583036913215 -28.683231933677657  300.6651436054555 
     2    25    89   266.224598651637 -28.682845726013632 300.98101309860937 
     2    26    90  266.2240250745737 -28.683701588892053 300.04015185658403 
     2    27    91  266.2245339456795 -28.685500186863752  301.2745508400207 
     2    28    92  266.2229931782536 -28.681873525132044  302.3463860131258 
     2    29    93  266.2246212783741  -28.68351526964596 300.48541865990444 
     2    30    94  266.2251022545985 -28.683543380197882 301.81043481660856 
     2    31    95  266.2233426674709 -28.683915027864057 303.02130495685464 
     3     0    96 266.30339258033126  -28.56942749630302  302.1397313542097 
     3     1    97  266.3033909006908 -28.569902729044188 301.46218246011443 
     3     2    98  266.3051477787849 -28.570034151671077 301.47325681862384 
     3     3    99  266.3024774114732 -28.567948105972835 302.40929189215205 
     3     4   100  266.3068360862838 -28.567594554031416 302.32024667514617 
     3     5   101  266.3012212568824 -28.567785641872163 300.64232552637606 
     3     6   102  266.3041400916759  -28.57101902304523 299.32533887434954 
     3     7   103  266.3046146633621 -28.570762772398272 301.59939940088816 
     3     8   104 266.30177508790933 -28.567825226725702 302.40078177393315 
     3     9   105   266.304760374094 -28.570924305105056  301.9408554296978 
     3    10   106 266.30046405255905  -28.56982680904513  302.6304358591007 
     3    11   107  266.3059484552677 -28.571387033693206 302.80223974114267 
     3    12   108 266.30225980135526  -28.56882845629051  299.8557014573187 
     3    13   109  266.3035226588177 -28.570296100759148  301.4965089235917 
     3    14   110  266.3028126199564  -28.56967164200318 300.38224649691307 
     3    15   111  266.3037445093464  -28.56967125787084 301.96385811284756 
     3    16   112  266.3061287374831 -28.569561521888804  299.9141594018061 
     3    17   113  266.3046301498885 -28.567835063121883  300.7005000271489 
     3    18   114  266.3051480614528 -28.567668018742488  302.6280343138521 
     3    19   115   266.301299796467 -28.568016396037052 303.20592785352756 
     3    20   116 266.30250808276315 -28.569180665188238  302.0953872072953 
     3    21   117 266.30645534049756 -28.568667309995497 302.13416462094995 
     3    22   118 266.30727037844343  -28.56961007628989  300.2644668727807 
     3    23   119  266.3027051402973 -28.572201135981505 302.16747086592363 
     3    24   120 266.30516389831917 -28.567755963935944 303.07734541779706 
     3    25   121   266.305183689011 -28.572459287489917 301.39319126234733 
     3    26   122 266.30438528487883  -28.56915836215849 299.38166734130994 
     3    27   123  266.3057106781965 -28.570640590652904  302.1181511946774 
     3    28   124 266.30559479721626 -28.569836435743884 300.93466421832034 
     3    29   125  266.3032348754881 -28.570890159555205  302.4048112521887 
     3    30   126 266.30253091662104 -28.570392407563375 300.91974750038287 
     3    31   127 266.30351447496156 -28.570606725617548 300.41429117171975 
